Gender,bodyFrame_Breadth,skin_Nature,skin_Color,weight_Changes,nails_color,teeth_Color,teeth_Shape,recalling_speed,memorizing_speed,sleep_Amount,sleep_Quality,speaking_Amount,speaking_Speed,walking_Speed,bowel_Freq,retainingFriends_quality,dreams_Amount,voice_clear,eye_Color,healthproblem_in_temp,hair_Growth,hair_Type,hair_Nature2,appetite_Amount,appetite_Frequency,bladder_Frequency,perspiration_Amount,stool_Consistency,mental_Power,physical_Power,Anger_Freq,Irritability_speed,speech_Argumentative,class
Male,Broad,Normal,Whitish,Stable,Pink,MilkyWhite,Regular,Quickly,Quickly,High,Deep,Moderate,Slow,Slow,Regular,Good,Medium,Clear,Black,Cold,Moderate,Thin,Non_Falling,Low,Regular,Regular,Low,Medium,Grade2,Grade3,Medium,Slowly,Non_Argumentative,Kapha
Male,Thin/Narrow,Dry,Whitish,Difficultyingaining,PaleYellow,Yellowish,Regular,Slowly,Slowly,Medium,Shallow,Moderate,Medium,Medium,Regular,Medium,Medium,Clear,DarkBrown,None,Moderate,Thin,Non_Falling,Medium,Regular,Regular,Low,Medium,Grade2,Grade2,Medium,Slowly,Non_Argumentative,Vata
Female,Thin/Narrow,Dry,Whitish,Difficultyingaining,Reddish,Dull/Blackish,Regular,Moderately,Slowly,Medium,Shallow,Moderate,Medium,Quick/Fast/Brisk,Regular,Good,Variable,Non_Clear,Grayish,Cold,Scanty,Thin,Falling,Low,Irregular,Regular,Low,Medium,Grade1,Grade1,Medium,Quickly,Non_Argumentative,Vata
Male,Medium,Normal,Dark,Stable,Reddish,Dull/Blackish,Irregular,Quickly,Moderately,Medium,Sound,Moderate,Quick,Medium,Regular,Medium,Medium,Clear,DarkBrown,Warm,Moderate,Thin,Falling,High,Regular,Regular,High,Medium,Grade2,Grade2,Medium,Quickly,Argumentative,Pitta
Male,Medium,Oily,Whitish,Gainandloseeasily,Reddish,Yellowish,Regular,Moderately,Quickly,Medium,Shallow,Moderate,Medium,Medium,Regular,Medium,Medium,Clear,LightBrown,Warm,Moderate,Thin,Falling,Medium,Regular,Regular,Medium,Medium,Grade2,Grade1,Medium,Quickly,Argumentative,Pitta
Male,Medium,Dry,Dark,Stable,Reddish,MilkyWhite,Regular,Moderately,Moderately,Medium,Sound,Moderate,Slow,Medium,Regular,Medium,Variable,Clear,LightBrown,Warm,Scanty,Thin,Falling,Medium,Regular,Regular,High,Medium,Grade2,Grade2,Medium,Moderately,Non_Argumentative,Pitta
Male,Medium,Oily,FairPaleYellow,Stable,Reddish,Yellowish,Regular,Quickly,Quickly,Medium,Sound,Moderate,Medium,Medium,Regular,Medium,Medium,Clear,DarkBrown,Warm,Moderate,Thick,Non_Falling,Medium,Regular,Regular,High,Medium,Grade2,Grade2,Good,Moderately,Argumentative,Pitta
Male,Thin/Narrow,Dry,Dark,Difficultyingaining,Reddish,Dull/Blackish,Regular,Moderately,Moderately,Low,Shallow,Excessive,Medium,Quick/Fast/Brisk,Regular,Medium,Medium,Non_Clear,DarkBrown,Warm,Dense,Thick,Non_Falling,Medium,Regular,Regular,Low,Medium,Grade2,Grade2,Medium,Moderately,Non_Argumentative,Vata
Female,Thin/Narrow,Dry,Dark,Difficultyingaining,PaleYellow,Yellowish,Regular,Slowly,Slowly,Medium,Shallow,Excessive,Medium,Medium,Regular,Medium,Medium,Clear,DarkBrown,Cold,Moderate,Thin,Falling,Low,Irregular,Regular,Low,Medium,Grade1,Grade2,Poor,Quickly,Non_Argumentative,Vata
Female,Thin/Narrow,Dry,Whitish,Difficultyingaining,PaleYellow,Dull/Blackish,Irregular,Moderately,Quickly,Medium,Shallow,Excessive,Medium,Quick/Fast/Brisk,Variable,Medium,Medium,Clear,LightBrown,Cold,Moderate,Thin,Falling,Low,Irregular,Regular,Medium,Medium,Grade1,Grade1,Medium,Quickly,Non_Argumentative,Vata
Male,Thin/Narrow,Normal,Whitish,Difficultyingaining,PaleYellow,Yellowish,Regular,Moderately,Moderately,Low,Shallow,Excessive,Medium,Quick/Fast/Brisk,Regular,Medium,Medium,Non_Clear,DarkBrown,None,Moderate,Thin,Non_Falling,Low,Regular,Regular,Low,Medium,Grade1,Grade2,Medium,Moderately,Non_Argumentative,Vata
Male,Thin/Narrow,Dry,Dark,Difficultyingaining,PaleYellow,MilkyWhite,Irregular,Moderately,Slowly,Medium,Shallow,Moderate,Medium,Quick/Fast/Brisk,Regular,Medium,Variable,Non_Clear,LightBrown,Cold,Scanty,Thin,Non_Falling,Medium,Irregular,Regular,Low,Hard,Grade1,Grade1,Medium,Quickly,Non_Argumentative,Vata
Male,Thin/Narrow,Normal,Whitish,Stable,PaleYellow,Yellowish,Irregular,Moderately,Slowly,Medium,Shallow,Moderate,Medium,Medium,Regular,Poor,Low,Non_Clear,LightBrown,Warm,Moderate,Thin,Non_Falling,Medium,Regular,Regular,High,Medium,Grade2,Grade2,Medium,Slowly,Non_Argumentative,Vata
Female,Medium,Oily,FairPink,Gainandloseeasily,Pink,MilkyWhite,Regular,Moderately,Moderately,Medium,Shallow,Moderate,Medium,Medium,Regular,Medium,Medium,Clear,LightBrown,Warm,Moderate,Thin,Falling,High,Regular,Regular,High,Medium,Grade2,Grade2,Good,Moderately,Argumentative,Pitta
Male,Broad,Oily,Dark,Stable,Pink,MilkyWhite,Regular,Moderately,Moderately,Medium,Deep,Less,Slow,Medium,Regular,Medium,Low,Clear,Black,Cold,Moderate,Thick,Non_Falling,Medium,Regular,Regular,Medium,Medium,Grade3,Grade2,Good,Slowly,Non_Argumentative,Kapha
Female,Broad,Normal,FairPink,Stable,Pink,MilkyWhite,Regular,Quickly,Quickly,High,Deep,Moderate,Slow,Slow,Regular,Medium,Low,Clear,Black,Cold,Dense,Thick,Falling,Low,Regular,Regular,Low,Medium,Grade3,Grade3,Medium,Variably,Non_Argumentative,Kapha
Female,Broad,Normal,Whitish,Gaineasilyandlosewithdifficulty,Pink,MilkyWhite,Regular,Quickly,Quickly,High,Deep,Moderate,Slow,Slow,Regular,Good,Medium,Clear,Black,None,Dense,Thin,Non_Falling,Low,Regular,Regular,Medium,Medium,Grade2,Grade3,Good,Slowly,Non_Argumentative,Kapha
Female,Medium,Normal,FairReddish,Stable,Pink,MilkyWhite,Regular,Quickly,Quickly,Medium,Sound,Excessive,Medium,Medium,Regular,Medium,Medium,Clear,LightBrown,None,Dense,Thin,Falling,Medium,Regular,Regular,Medium,Medium,Grade2,Grade2,Poor,Moderately,Non_Argumentative,Pitta
Female,Thin/Narrow,Dry,Whitish,Difficultyingaining,PaleYellow,Yellowish,Regular,Slowly,Slowly,Low,Shallow,Excessive,Medium,Quick/Fast/Brisk,Irregular,Medium,Medium,Clear,DarkBrown,None,Moderate,Thin,Non_Falling,Low,Regular,Regular,Low,Medium,Grade1,Grade3,Medium,Moderately,Non_Argumentative,Pitta
